domain,run_type,variant,scheduling,seed,folder_name,NDCG@20,R@20
b2b,ablation,loo_no_compatible_with,one_to_one,,step4_ablation_loo_no_compatible_with_one_to_one,0.25587014414027903,0.4292237442922374
b2b,ablation,loo_no_compatible_with,one_to_one,1024,step4_ablation_loo_no_compatible_with_one_to_one_seed1024,0.23386876223464903,0.4018264840182648
b2b,ablation,loo_no_compatible_with,one_to_one,2024,step4_ablation_loo_no_compatible_with_one_to_one_seed2024,0.27606019752767574,0.4520547945205479
b2b,ablation,loo_no_compatible_with,one_to_one,42,step4_ablation_loo_no_compatible_with_one_to_one_seed42,0.24642742115447255,0.410958904109589
b2b,ablation,loo_no_compatible_with,one_to_one,999,step4_ablation_loo_no_compatible_with_one_to_one_seed999,0.2602812521370082,0.4292237442922374
b2b,ablation,loo_no_instance_of,one_to_one,,step4_ablation_loo_no_instance_of_one_to_one,0.2911889660949637,0.4885844748858447
b2b,ablation,loo_no_instance_of,one_to_one,1024,step4_ablation_loo_no_instance_of_one_to_one_seed1024,0.27023187318729747,0.45662100456621
b2b,ablation,loo_no_instance_of,one_to_one,2024,step4_ablation_loo_no_instance_of_one_to_one_seed2024,0.2737260484168233,0.4520547945205479
b2b,ablation,loo_no_instance_of,one_to_one,42,step4_ablation_loo_no_instance_of_one_to_one_seed42,0.27661453365228916,0.4657534246575342
b2b,ablation,loo_no_instance_of,one_to_one,999,step4_ablation_loo_no_instance_of_one_to_one_seed999,0.2751418607616438,0.4657534246575342
b2b,ablation,mix1_keep_compatible_with_owns,one_to_one,,step4_ablation_mix1_keep_compatible_with_owns_one_to_one,0.2541879158847102,0.4018264840182648
b2b,ablation,mix1_keep_compatible_with_owns,one_to_one,1024,step4_ablation_mix1_keep_compatible_with_owns_one_to_one_seed1024,0.27149876422312397,0.45662100456621
b2b,ablation,mix1_keep_compatible_with_owns,one_to_one,2024,step4_ablation_mix1_keep_compatible_with_owns_one_to_one_seed2024,0.26436952643158784,0.4292237442922374
b2b,ablation,mix1_keep_compatible_with_owns,one_to_one,42,step4_ablation_mix1_keep_compatible_with_owns_one_to_one_seed42,0.2751647038669465,0.4337899543378995
b2b,ablation,mix1_keep_compatible_with_owns,one_to_one,999,step4_ablation_mix1_keep_compatible_with_owns_one_to_one_seed999,0.2674185840646141,0.4474885844748858
b2b,ablation,mix3_keep_bought_compatible_with,one_to_one,,step4_ablation_mix3_keep_bought_compatible_with_one_to_one,0.2531454432136127,0.4474885844748858
b2b,ablation,mix3_keep_bought_compatible_with,one_to_one,1024,step4_ablation_mix3_keep_bought_compatible_with_one_to_one_seed1024,0.2869779788096296,0.4703196347031963
b2b,ablation,mix3_keep_bought_compatible_with,one_to_one,2024,step4_ablation_mix3_keep_bought_compatible_with_one_to_one_seed2024,0.2806443185329367,0.4520547945205479
b2b,ablation,mix3_keep_bought_compatible_with,one_to_one,42,step4_ablation_mix3_keep_bought_compatible_with_one_to_one_seed42,0.2811772862647195,0.4520547945205479
b2b,ablation,mix3_keep_bought_compatible_with,one_to_one,999,step4_ablation_mix3_keep_bought_compatible_with_one_to_one_seed999,0.28353250466403274,0.4840182648401826
b2b,ablation,targeted_triple_cw_bought_instance,one_to_one,,step4_ablation_targeted_triple_cw_bought_instance_one_to_one,0.2599961262534709,0.4429223744292237
b2b,ablation,targeted_triple_cw_bought_instance,one_to_one,1024,step4_ablation_targeted_triple_cw_bought_instance_one_to_one_seed1024,0.2692404007795091,0.4474885844748858
b2b,ablation,targeted_triple_cw_bought_instance,one_to_one,2024,step4_ablation_targeted_triple_cw_bought_instance_one_to_one_seed2024,0.26615019772861676,0.4474885844748858
b2b,ablation,targeted_triple_cw_bought_instance,one_to_one,42,step4_ablation_targeted_triple_cw_bought_instance_one_to_one_seed42,0.26281003024381555,0.4611872146118721
b2b,ablation,targeted_triple_cw_bought_instance,one_to_one,999,step4_ablation_targeted_triple_cw_bought_instance_one_to_one_seed999,0.2873061504475767,0.4840182648401826
fashion_v1,ablation,no_brand,epoch,,step4_ablation_no_brand_epoch_ce,0.10630754086023272,0.11618156897524792
fashion_v1,ablation,no_brand,one_to_one,,step4_ablation_no_brand_one_to_one_ce,0.10649101126062156,0.11648391518181085
fashion_v1,ablation,no_category,epoch,,step4_ablation_no_category_epoch_ce,0.10745385848781785,0.1234983471740708
fashion_v1,ablation,no_category,one_to_one,,step4_ablation_no_category_one_to_one_ce,0.10785631138028899,0.12341772151898735
fashion_v1,ablation,no_compatible_with,epoch,,step4_ablation_no_compatible_with_epoch_ce,0.10826986108129515,0.1234983471740708
fashion_v1,ablation,no_compatible_with,one_to_one,,step4_ablation_no_compatible_with_one_to_one_ce,0.10856593466169379,0.12353866000161251
fashion_v1,full_config,full5rel,epoch,,step4_full5rel_epoch_ce,0.10999240145311728,0.12093848262517133
fashion_v1,full_config,full5rel,one_to_one,,step4_full5rel_one_to_one_ce,0.10991564445440259,0.12093848262517133
