head	relation	tail
item_B002AHU4KC	compatible_with	item_B00M20E91M
item_B0012JRLWS	compatible_with	item_B00ZKYMG4E
item_B00JW2A7LO	compatible_with	item_B00XZ3EF0U
item_B00295MQLU	compatible_with	item_B00RCKUFF6
item_B01E5JLKWI	compatible_with	item_B01FX3ZSWI
item_B00VJ41U6Y	compatible_with	item_B012AP0CKA
item_B00B58FQ5K	compatible_with	item_B0161018Z8
item_B005GQAMLK	compatible_with	item_B00XKXHMD2
item_B0085TF7DS	compatible_with	item_B00CBE1S6I
item_B00H1S7N2W	compatible_with	item_B00YGAISMM
item_B010EAL7M0	compatible_with	item_B01DQ2BLZG
item_B00HHHI66O	compatible_with	item_B00R70LP8W
item_B0062OP2G0	compatible_with	item_B00HTAT6Y0
item_B00GC1WPJ0	compatible_with	item_B00INYPIT8
item_B00MNKTBJ6	compatible_with	item_B01DFQVL4E
item_B004DPAEGS	compatible_with	item_B009GWZF6M
item_B009T1R6HG	compatible_with	item_B01AB25C4K
item_B0012G6KX2	compatible_with	item_B015Q84QXW
item_B008X6AX0K	compatible_with	item_B00D076MXE
item_B00E9E1CDC	compatible_with	item_B01EH14W24
item_B00T2QQLJW	compatible_with	item_B018YLSIWI
item_B00HAV9RNS	compatible_with	item_B017ULEI9U
item_B00Q6BSE9G	compatible_with	item_B01DDDAAJ6
item_B003B2SVHS	compatible_with	item_B01DJP6MTA
item_B013SEP6FS	compatible_with	item_B01DZKLOAQ
item_B00ZM0MUY2	compatible_with	item_B00ZUK0E2O
item_B0002NYN44	compatible_with	item_B01AK98V6A
item_B01CI4C8GO	compatible_with	item_B01H3EALEA
item_B00ELAKV0E	compatible_with	item_B01E2DKX66
item_B0152R74K4	compatible_with	item_B015E03PJ8
item_B0010TR6NE	compatible_with	item_B00V9U3DU4
item_B00HIZKH7G	compatible_with	item_B00I04GJO4
item_B00KM8GXL0	compatible_with	item_B00QNAIJ4A
item_B005GPI056	compatible_with	item_B01DTY57Q0
item_B00T6H8UY6	compatible_with	item_B01F8VL0UE
item_B0026O1LSI	compatible_with	item_B00Q4LZUW2
item_B01AEUQZJK	compatible_with	item_B01D410A2O
item_B001CVRAXQ	compatible_with	item_B00MY8WSCO
item_B00FXLCUPO	compatible_with	item_B01FWRHX0A
item_B00S4HGBZ4	compatible_with	item_B013E0HGEA
