field,count,coverage_pct
category,2685059,100.0
asin,2685059,100.0
title,2685009,99.99813784352597
rank,2615245,97.3999081584427
feature,2522101,93.93093410610344
date,2499851,93.10227447516051
description,2013652,74.99470216483138
imageURL,2000612,74.5090517564046
imageURLHighRes,2000612,74.5090517564046
brand,1882408,70.10676487928198
price,900897,33.5522236196672
also_view,741474,27.6148121884845
also_buy,459564,17.11560155661384
fit,393844,14.667983087150041
main_cat,213228,7.941278012885378
details,114983,4.282326757065674
similar_item,17127,0.637863078613915
tech1,8691,0.3236800383157316
tech2,64,0.0023835602867572
