head	relation	tail
client_0011DA7B73	owns	machine_C0B75B7DAC
client_0011DA7B73	owns	machine_4091EC4B2F
client_0011DA7B73	owns	machine_651C02F875
client_02BCADBA1B	owns	machine_573D66F600
client_02BCADBA1B	owns	machine_D3084A2D14
client_02BCADBA1B	owns	machine_0F32C7514D
client_02BCADBA1B	owns	machine_276AF9E085
client_02BCADBA1B	owns	machine_B588CF8641
client_02BCADBA1B	owns	machine_9C5A06BD77
client_02BCADBA1B	owns	machine_2724B06ED4
client_02BCADBA1B	owns	machine_B4A092864B
client_02BCADBA1B	owns	machine_474C5939D9
client_02BCADBA1B	owns	machine_1A182C9422
client_072558AF90	owns	machine_30335D4F76
client_072558AF90	owns	machine_AED46567CE
client_072558AF90	owns	machine_3A2FB2E248
client_072558AF90	owns	machine_30599B0E08
client_0893217BBF	owns	machine_83CD7432EB
client_0893217BBF	owns	machine_4ABFFD4238
client_0A9A1D45BC	owns	machine_78352255EF
client_0A9A1D45BC	owns	machine_2AE4BDE455
client_0A9A1D45BC	owns	machine_BC96B788E9
client_0A9A1D45BC	owns	machine_8BE5046DC5
client_0A9A1D45BC	owns	machine_63EB42B3AA
client_0A9A1D45BC	owns	machine_FA87C2FB56
client_0A9A1D45BC	owns	machine_EA19B17EDB
client_0A9A1D45BC	owns	machine_73A6144A2B
client_0A9A1D45BC	owns	machine_442E43FCE1
client_0A9A1D45BC	owns	machine_1DC3822A67
client_0A9A1D45BC	owns	machine_FED650C677
client_0A9A1D45BC	owns	machine_2143A03FE4
client_0A9A1D45BC	owns	machine_93A5264C19
client_0A9A1D45BC	owns	machine_2BC2AC7A78
client_0A9A1D45BC	owns	machine_ED924A3FEE
client_0A9A1D45BC	owns	machine_4BAC8C68CB
client_0A9A1D45BC	owns	machine_374FFDB81F
client_0A9A1D45BC	owns	machine_B08485C577
client_0A9A1D45BC	owns	machine_1C926234A3
client_0A9A1D45BC	owns	machine_367C66EEF1
client_0BE7B84AC4	owns	machine_4527524A44
client_0BE7B84AC4	owns	machine_9C628D3743
client_0BE7B84AC4	owns	machine_C75237404C
client_0BE7B84AC4	owns	machine_1B58C0673D
client_0BE7B84AC4	owns	machine_100F7806CB
client_0BE7B84AC4	owns	machine_3F079760E9
client_0BE7B84AC4	owns	machine_2D9E4745BC
client_0BE7B84AC4	owns	machine_E1B3249BBB
client_0BE7B84AC4	owns	machine_98825DFB31
client_0BE7B84AC4	owns	machine_94C9B31B01
client_0BE7B84AC4	owns	machine_EC0B91B282
client_0BE7B84AC4	owns	machine_FCE244105B
client_0BE7B84AC4	owns	machine_04947B6D93
client_0BE7B84AC4	owns	machine_20E052840A
client_0BE7B84AC4	owns	machine_316CF982E2
client_0BE7B84AC4	owns	machine_0170F4A7AE
client_0BE7B84AC4	owns	machine_D077C94D40
client_0BE7B84AC4	owns	machine_AF1E058372
client_0BE7B84AC4	owns	machine_931A08D47C
client_0BE7B84AC4	owns	machine_D80206BCE6
client_0BE7B84AC4	owns	machine_5D5130D05E
client_0BE7B84AC4	owns	machine_62DE7E5F66
client_0BE7B84AC4	owns	machine_0FC02B56D1
client_0BE7B84AC4	owns	machine_760A781D46
client_0BE7B84AC4	owns	machine_EE01F7365B
client_0BE7B84AC4	owns	machine_49E44FDD57
client_0BE7B84AC4	owns	machine_E01619D14E
client_0BE7B84AC4	owns	machine_38E339648B
client_0BE7B84AC4	owns	machine_F595407FFA
client_0BE7B84AC4	owns	machine_25BDDBB7F1
client_0BE7B84AC4	owns	machine_512673A41E
client_0BE7B84AC4	owns	machine_5538161345
client_0BE7B84AC4	owns	machine_7E97B5BE76
client_0BE7B84AC4	owns	machine_0E67725770
client_0BE7B84AC4	owns	machine_8162CD0889
client_0BE7B84AC4	owns	machine_8CC0CB839B
client_0BE7B84AC4	owns	machine_4262FC9B4A
client_0BE7B84AC4	owns	machine_4AFEB4E02F
client_0BE7B84AC4	owns	machine_B4B5289A24
client_0BE7B84AC4	owns	machine_2B95CBF86F
client_0BE7B84AC4	owns	machine_CF5C7668F5
client_0BE7B84AC4	owns	machine_A981510169
client_0BE7B84AC4	owns	machine_F700FA2D66
client_0BE7B84AC4	owns	machine_D7AB6DBD4E
client_0BE7B84AC4	owns	machine_60FAF550D1
client_0BE7B84AC4	owns	machine_8CB981F29A
client_0BE7B84AC4	owns	machine_45EC8C9ABC
client_0BE7B84AC4	owns	machine_45AF8611FC
client_0BE7B84AC4	owns	machine_DDCF9F60DA
client_0BE7B84AC4	owns	machine_262163EB07
client_0BE7B84AC4	owns	machine_BD9B3C637D
client_0BE7B84AC4	owns	machine_C58D57C324
client_0BE7B84AC4	owns	machine_A18658583B
client_0BE7B84AC4	owns	machine_F670D8AFCD
client_0BE7B84AC4	owns	machine_B219BAE359
client_0BE7B84AC4	owns	machine_A3F5EB9A32
client_0D865EB481	owns	machine_F156567DBB
client_0D865EB481	owns	machine_102726320F
client_0E2156B82B	owns	machine_013C0C24EE
client_0E2156B82B	owns	machine_14F8537455
client_0EB5A9738B	owns	machine_9BECDAD918
client_0EB5A9738B	owns	machine_BEE5C4B13E
client_0EB5A9738B	owns	machine_CD34DFDFF4
client_0EB5A9738B	owns	machine_4F1B7460CE
client_0EB5A9738B	owns	machine_02A3F6CF50
client_0EB5A9738B	owns	machine_EFE4EEFF1A
client_0EB5A9738B	owns	machine_25022B0D7D
client_0EB5A9738B	owns	machine_EEEB278321
client_0EB5A9738B	owns	machine_88DEA8C93C
client_0EB5A9738B	owns	machine_2DF238925F
client_0EB5A9738B	owns	machine_6030268EB4
client_0EB5A9738B	owns	machine_537CF4C93C
client_0EB5A9738B	owns	machine_89D18C4C73
client_0EB5A9738B	owns	machine_2C1E895A79
client_0EB5A9738B	owns	machine_02BA7DC063
client_0EB5A9738B	owns	machine_1325991355
client_0EB5A9738B	owns	machine_4C1A9F3F56
client_0EB5A9738B	owns	machine_06A1A89E0C
client_0EB5A9738B	owns	machine_9CBAF71596
client_0EB5A9738B	owns	machine_0A01F1F629
client_15B7D14B33	owns	machine_98CA30A671
client_15B7D14B33	owns	machine_DF3A37E150
client_15B7D14B33	owns	machine_44F0DA6020
