head	relation	tail
client_0011DA7B73	bought	item_34946AC4D0
client_0011DA7B73	bought	item_E9D49B01F7
client_0011DA7B73	bought	item_5292BB693D
client_0011DA7B73	bought	item_B848358A75
client_0011DA7B73	bought	item_11F0004326
client_0011DA7B73	bought	item_CA860DA1B6
client_0011DA7B73	bought	item_F06A76E9F9
client_0011DA7B73	bought	item_B1FBA6AA48
client_0011DA7B73	bought	item_34FCF6685E
client_0011DA7B73	bought	item_31D62D6D61
client_0011DA7B73	bought	item_50167218E2
client_0011DA7B73	bought	item_75FC8D5E49
client_0011DA7B73	bought	item_DD6374F214
client_0011DA7B73	bought	item_BBED277011
client_0011DA7B73	bought	item_7354EBF7B8
client_0011DA7B73	bought	item_DBBF523813
client_0011DA7B73	bought	item_2452DFD741
client_0011DA7B73	bought	item_6F491D5C4C
client_0011DA7B73	bought	item_E2453E55F8
client_0011DA7B73	bought	item_1793F4B94A
client_0011DA7B73	bought	item_5A0FAB4A9A
client_0011DA7B73	bought	item_7635E14269
client_0011DA7B73	bought	item_D95BBADF3D
client_0011DA7B73	bought	item_EF8464C018
client_0011DA7B73	bought	item_163104B077
client_0011DA7B73	bought	item_70786F09FB
client_0011DA7B73	bought	item_1EFCE0C671
client_0011DA7B73	bought	item_64D70B4DC5
client_0011DA7B73	bought	item_1E8770B132
client_0011DA7B73	bought	item_283038951D
client_0011DA7B73	bought	item_CCC8D8D13C
client_0011DA7B73	bought	item_5D53417AEE
client_0011DA7B73	bought	item_090C0C8F09
client_0011DA7B73	bought	item_D94DF5950F
client_0011DA7B73	bought	item_9EE9642B06
client_0011DA7B73	bought	item_32724DC6C6
client_0011DA7B73	bought	item_D44843C1CB
client_0011DA7B73	bought	item_5B9A5B22DF
client_0011DA7B73	bought	item_012AF3899B
client_0011DA7B73	bought	item_DA384534D7
client_0011DA7B73	bought	item_B77E545E19
client_0011DA7B73	bought	item_833C33AA42
client_0011DA7B73	bought	item_AC7C763433
client_0011DA7B73	bought	item_64B0BE04E8
client_0011DA7B73	bought	item_85EC9FEBC7
client_0011DA7B73	bought	item_55E6205560
client_0011DA7B73	bought	item_DDF4EDE548
client_0011DA7B73	bought	item_5F02DB2C2D
