head	relation	tail
item_B00C2KETOY	belongs_to	category_shoes
item_B012BPCGIU	belongs_to	category_shoes
item_B008AK2MN0	belongs_to	category_top
item_B01HE16D9Y	belongs_to	category_shoes
item_B00JYJH2TK	belongs_to	category_shoes
item_B0033RWY5Q	belongs_to	category_shoes
item_B0055X3GLW	belongs_to	category_shoes
item_B00DMDZW9Q	belongs_to	category_shoes
item_B005HZMDOO	belongs_to	category_shoes
item_B00LOGZBIA	belongs_to	category_bottom
item_B01B5FR9GG	belongs_to	category_top
item_B00BYPD58Y	belongs_to	category_shoes
item_B01F2NTWVM	belongs_to	category_shoes
item_B00GYQ9Q04	belongs_to	category_top
item_B018UMZKUE	belongs_to	category_top
item_B007C837GM	belongs_to	category_shoes
item_B01ADBCFBW	belongs_to	category_shoes
item_B00K125SV8	belongs_to	category_shoes
item_B001D9DTXC	belongs_to	category_shoes
item_B00JPQ7VCU	belongs_to	category_shoes
item_B015J4394U	belongs_to	category_shoes
item_B00EL3LNFS	belongs_to	category_top
item_B01D26M7Z4	belongs_to	category_shoes
item_B00NNVDB0Y	belongs_to	category_shoes
item_B00IJBF4NK	belongs_to	category_shoes
item_B019A4LO0G	belongs_to	category_shoes
item_B00NHQGXGO	belongs_to	category_shoes
item_B00NVRJ14K	belongs_to	category_shoes
item_B010R9574M	belongs_to	category_shoes
item_B00L46MF8E	belongs_to	category_shoes
item_B01FXHWNEK	belongs_to	category_bottom
item_B009PHDU1U	belongs_to	category_top
item_B00GO6O6R2	belongs_to	category_shoes
item_B00J63W08W	belongs_to	category_top
item_B00K4O76SQ	belongs_to	category_top
item_B014GN5L6O	belongs_to	category_shoes
item_B008LR6XW8	belongs_to	category_shoes
item_B00158SFS0	belongs_to	category_shoes
item_B01BM7J6AO	belongs_to	category_shoes
item_B00EKVT3DU	belongs_to	category_shoes
item_B00R4VUP58	belongs_to	category_shoes
item_B00Z7K3SRA	belongs_to	category_shoes
item_B007CLXV56	belongs_to	category_shoes
item_B0089X61TO	belongs_to	category_top
item_B00LKMPIXG	belongs_to	category_shoes
item_B003OYIRQI	belongs_to	category_shoes
item_B00D4N1FN6	belongs_to	category_shoes
item_B00DM0587A	belongs_to	category_shoes
item_B00LIUX530	belongs_to	category_top
item_B00B7TZGR0	belongs_to	category_shoes
item_B0083QNPTG	belongs_to	category_shoes
item_B00BSEV7W2	belongs_to	category_bottom
item_B001BZ2HMW	belongs_to	category_top
item_B00LJTY9N0	belongs_to	category_top
item_B0095PD9S6	belongs_to	category_shoes
item_B00JGHM21I	belongs_to	category_shoes
item_B00DQ3GIDG	belongs_to	category_shoes
item_B00XMX032W	belongs_to	category_top
item_B003VTXZ5Y	belongs_to	category_shoes
item_B01D8XG0MC	belongs_to	category_top
item_B007CB6MPC	belongs_to	category_shoes
item_B00CAMCTW8	belongs_to	category_shoes
item_B00X9HKZMY	belongs_to	category_shoes
