number,value,datetime_start,datetime_complete,duration,params_embedding_dim,params_learning_rate,params_loss_margin,params_num_negs_per_pos,state
0,0.06875765323638916,2026-08-27 04:10:38.287839,2026-08-27 04:13:35.502531,0 days 00:02:57.214692,128,0.00020511104188433984,9.714143595538946,16,COMPLETE
1,0.03834440931677818,2026-08-27 04:13:35.721662,2026-08-27 04:15:42.906778,0 days 00:02:07.185116,64,0.0011207606211860567,3.980437511290071,32,COMPLETE
2,0.04280553013086319,2026-08-27 04:15:43.078107,2026-08-27 04:20:15.037520,0 days 00:04:31.959413,128,0.0001238513729886094,8.17977480710638,128,COMPLETE
3,0.03226384520530701,2026-08-27 04:20:15.187723,2026-08-27 04:24:07.129757,0 days 00:03:51.942034,200,0.0009780337016659412,5.440646201189203,16,COMPLETE
4,0.015381474047899244,2026-08-27 04:24:07.279655,2026-08-27 04:27:58.841096,0 days 00:03:51.561441,200,0.006161049539380964,3.590638142251011,16,COMPLETE
5,0.019868746399879456,2026-08-27 04:27:58.989090,2026-08-27 04:32:53.814923,0 days 00:04:54.825833,200,0.001217284708112243,2.387798974574638,64,COMPLETE
6,0.0012456458061933517,2026-08-27 04:32:53.983120,2026-08-27 04:35:55.347754,0 days 00:03:01.364634,128,0.00014063366777718192,1.1038043277172245,32,COMPLETE
7,0.022151676937937737,2026-08-27 04:35:55.491722,2026-08-27 04:47:16.283452,0 days 00:11:20.791730,400,0.0008798929749689024,5.191058165461712,128,COMPLETE
8,0.04876184090971947,2026-08-27 04:47:16.427222,2026-08-27 04:49:20.746711,0 days 00:02:04.319489,64,0.0018742210985555703,7.677735816158963,32,COMPLETE
9,0.03730735182762146,2026-08-27 04:49:20.886725,2026-08-27 05:00:40.795190,0 days 00:11:19.908465,400,0.004132765459466363,5.623751298198682,128,COMPLETE
10,0.04605850204825401,2026-08-27 05:00:40.968027,2026-08-27 05:05:05.578902,0 days 00:04:24.610875,256,0.0003856277457730804,9.573370328094228,8,COMPLETE
11,0.04582197219133377,2026-08-27 05:05:05.736242,2026-08-27 05:07:05.475053,0 days 00:01:59.738811,64,0.0029268245473084253,8.092342927330076,16,COMPLETE
12,0.07905106246471405,2026-08-27 05:07:05.614042,2026-08-27 05:09:10.060190,0 days 00:02:04.446148,64,0.0003528543537143545,9.485192339750274,32,COMPLETE
13,0.0815187320113182,2026-08-27 05:09:10.203619,2026-08-27 05:11:54.052564,0 days 00:02:43.848945,128,0.0003048761416961341,9.671773805079942,8,COMPLETE
14,0.037896644324064255,2026-08-27 05:11:54.193576,2026-08-27 05:16:19.123575,0 days 00:04:24.929999,256,0.0003897338683752748,6.635636186680792,8,COMPLETE
15,0.07568439841270447,2026-08-27 05:16:19.268278,2026-08-27 05:19:03.231695,0 days 00:02:43.963417,128,0.00044008275954576695,9.008623494204079,8,COMPLETE
16,0.05216214060783386,2026-08-27 05:19:03.375237,2026-08-27 05:21:29.690177,0 days 00:02:26.314940,64,0.00024297112389570405,6.960659730553541,64,COMPLETE
17,0.08626662939786911,2026-08-27 05:21:29.832964,2026-08-27 05:23:34.489683,0 days 00:02:04.656719,64,0.0005546863332529779,8.683950150710471,32,COMPLETE
18,0.0602741464972496,2026-08-27 05:23:34.627815,2026-08-27 05:26:18.283879,0 days 00:02:43.656064,128,0.0006411814027364312,8.71718722765978,8,COMPLETE
19,0.03940596058964729,2026-08-27 05:26:18.423809,2026-08-27 05:31:19.954932,0 days 00:05:01.531123,256,0.00021909626055860307,6.468502909134541,32,COMPLETE
20,0.0334661491215229,2026-08-27 05:31:20.098431,2026-08-27 05:37:43.057049,0 days 00:06:22.958618,400,0.0020065771485986692,7.459743410050843,8,COMPLETE
21,0.08764681965112686,2026-08-27 05:37:43.209729,2026-08-27 05:39:47.394739,0 days 00:02:04.185010,64,0.0005887056496896425,9.708063594462821,32,COMPLETE
22,0.0903468057513237,2026-08-27 05:39:47.532747,2026-08-27 05:41:51.929489,0 days 00:02:04.396742,64,0.000691915118120244,8.6978095576059,32,COMPLETE
23,0.08772613108158112,2026-08-27 05:41:52.069765,2026-08-27 05:43:56.683359,0 days 00:02:04.613594,64,0.0006283636217288382,8.653458763349903,32,COMPLETE
24,0.08974901586771011,2026-08-27 05:43:56.825398,2026-08-27 05:46:01.904579,0 days 00:02:05.079181,64,0.0006485595653147975,8.595856477892294,32,COMPLETE
25,0.052891284227371216,2026-08-27 05:46:02.046198,2026-08-27 05:48:07.657807,0 days 00:02:05.611609,64,0.0015479402415073513,7.225566252724051,32,COMPLETE
26,0.06112014874815941,2026-08-27 05:48:07.802493,2026-08-27 05:50:12.240117,0 days 00:02:04.437624,64,0.000775619302280255,6.130503380979021,32,COMPLETE
27,0.08283323794603348,2026-08-27 05:50:12.387357,2026-08-27 05:52:17.354144,0 days 00:02:04.966787,64,0.0005389646991240933,8.172565737803456,32,COMPLETE
28,0.038495875895023346,2026-08-27 05:52:17.492879,2026-08-27 05:54:21.905644,0 days 00:02:04.412765,64,0.0014217713457402481,4.611083306214668,32,COMPLETE
29,0.04219572991132736,2026-08-27 05:54:22.048931,2026-08-27 05:56:47.570283,0 days 00:02:25.521352,64,0.00016930631636071674,8.991674532161385,64,COMPLETE
