trial,n_layers,n_heads,learning_rate,hidden_dropout_prob,attn_dropout_prob,weight_decay,loss_type,neg_candidate_num,best_valid_ndcg,best_valid_recall,best_valid_epoch,best_test_ndcg,best_test_recall,best_test_epoch,test_from_best_valid_ndcg,test_from_best_valid_recall,status
1,2,2,0.0001,0.3,0.1,1e-05,CE,5,0.1064,0.1164,35,0.0874,0.0951,30,0.0873,0.0951,OK
2,2,8,0.0003162277660168,0.4,0.2,3.1622776601683795e-05,BPR,5,0.0297,0.0657,5,0.023,0.0511,14,0.0218,0.0491,OK
3,2,8,1e-05,0.4,0.1,1e-05,BPR,5,0.0145,0.0315,1,0.008,0.0195,1,0.008,0.0195,OK
4,2,8,3.1622776601683795e-05,0.4,0.2,1e-05,CE,3,0.1059,0.1168,125,0.0866,0.0952,126,0.0864,0.0952,OK
5,4,2,0.0003162277660168,0.3,0.2,1e-05,CE,5,0.1063,0.1161,8,0.0879,0.0955,10,0.0871,0.0957,OK
6,2,8,0.0001,0.3,0.1,0.0001,BPR,3,0.0403,0.0905,17,0.0311,0.0717,17,0.0311,0.0717,OK
7,2,4,0.001,0.5,0.3,3.1622776601683795e-05,CE,5,0.1056,0.1178,23,0.085,0.0947,14,0.0844,0.0939,OK
8,2,8,0.001,0.5,0.3,1e-05,CE,5,0.1056,0.118,11,0.0852,0.0957,8,0.0846,0.0954,OK
9,4,4,3.1622776601683795e-05,0.5,0.2,3.1622776601683795e-05,BPR,1,0.0125,0.0297,1,0.0067,0.0193,1,0.0067,0.0193,OK
10,4,4,1e-05,0.3,0.1,0.0001,CE,5,0.0015,0.0059,3,0.0003,0.0009,1,0.0001,0.0004,OK
11,2,8,1e-05,0.3,0.1,3.1622776601683795e-05,CE,5,0.0008,0.0029,3,0.0003,0.0008,1,0.0001,0.0005,OK
12,4,8,1e-05,0.4,0.3,1e-05,BPR,3,0.0125,0.0301,2,0.0065,0.0194,2,0.0065,0.0194,OK
13,2,8,0.0003162277660168,0.3,0.1,1e-05,CE,1,0.1062,0.1156,14,0.0868,0.095,9,0.0867,0.094,OK
14,2,8,0.0003162277660168,0.4,0.2,3.1622776601683795e-05,BPR,5,0.0297,0.0657,5,0.023,0.0511,14,0.0218,0.0491,OK
15,4,2,0.0003162277660168,0.3,0.2,1e-05,CE,5,0.1063,0.1161,8,0.0879,0.0955,10,0.0871,0.0957,OK
16,4,2,3.1622776601683795e-05,0.4,0.2,1e-05,BPR,5,0.0489,0.1049,46,0.0391,0.0853,35,0.0391,0.0857,OK
17,4,4,0.0001,0.5,0.3,0.0001,CE,3,0.1086,0.1198,75,0.0891,0.0966,77,0.0889,0.0964,OK
18,2,8,0.0003162277660168,0.3,0.1,1e-05,CE,1,0.1062,0.1156,14,0.0868,0.095,9,0.0867,0.094,OK
19,2,8,0.0003162277660168,0.4,0.2,3.1622776601683795e-05,BPR,5,0.0297,0.0657,5,0.023,0.0511,14,0.0218,0.0491,OK
20,4,2,0.0003162277660168,0.3,0.2,1e-05,CE,5,0.1063,0.1161,8,0.0879,0.0955,10,0.0871,0.0957,OK
21,2,4,0.001,0.4,0.3,3.1622776601683795e-05,CE,5,0.1053,0.1163,15,0.0853,0.0953,6,0.0841,0.0925,OK
22,2,4,1e-05,0.4,0.3,3.1622776601683795e-05,BPR,3,0.0163,0.035,2,0.0096,0.0226,2,0.0096,0.0226,OK
23,2,8,3.1622776601683795e-05,0.5,0.2,1e-05,CE,3,0.1059,0.1176,129,0.0866,0.0953,135,0.0864,0.0953,OK
24,2,8,0.0003162277660168,0.3,0.1,1e-05,CE,3,0.1062,0.1156,14,0.0868,0.095,9,0.0867,0.094,OK
25,2,8,0.00031622776601683794,0.3,0.1,1e-05,CE,1,0.1062,0.1156,14,0.0868,0.095,9,0.0867,0.094,OK
26,2,8,0.00031622776601683794,0.4,0.2,3.1622776601683795e-05,BPR,5,0.0297,0.0657,5,0.023,0.0511,14,0.0218,0.0491,OK
27,4,2,0.00031622776601683794,0.3,0.2,1e-05,CE,5,0.1063,0.1161,8,0.0879,0.0955,10,0.0871,0.0957,OK
28,2,8,0.00031622776601683794,0.3,0.1,1e-05,CE,3,0.1062,0.1156,14,0.0868,0.095,9,0.0867,0.094,OK
29,4,4,3.1622776601683795e-05,0.4,0.1,1e-05,BPR,5,0.0492,0.1044,35,0.04,0.0856,35,0.04,0.0856,OK
30,4,2,0.001,0.5,0.3,1e-05,BPR,5,0.0223,0.053,7,0.0158,0.0364,5,0.0129,0.0343,OK
31,4,4,3.1622776601683795e-05,0.4,0.3,0.0001,BPR,3,0.0079,0.0227,0,0.0035,0.0123,9,0.0025,0.0087,OK
32,2,8,3.1622776601683795e-05,0.4,0.1,0.0001,BPR,3,0.0121,0.0303,0,0.0055,0.0168,0,0.0055,0.0168,OK
