epoch,train_loss,valid_ndcg,valid_recall,test_ndcg,test_recall
0,13744.15369796753,0.0005,0.0017,0.0001,0.0003
1,13124.691014289856,0.0011,0.0028,0.0002,0.0004
2,12888.577841758728,0.0016,0.0047,0.0004,0.0012
3,12703.176410675049,0.0057,0.0171,0.0017,0.005
4,12514.58330821991,0.0114,0.0276,0.0034,0.0081
5,12304.939658164978,0.0207,0.0423,0.0117,0.028
6,12091.305879592896,0.031,0.0537,0.02,0.0389
7,11886.409512519836,0.0409,0.0647,0.0281,0.0477
8,11687.819045066833,0.0529,0.0755,0.0376,0.0581
9,11498.095895767212,0.0614,0.0836,0.0458,0.0656
10,11314.571803092957,0.0688,0.0904,0.0522,0.0715
11,11134.911232948303,0.0752,0.0956,0.0579,0.0741
12,10956.063548088074,0.0802,0.0991,0.0635,0.078
13,10781.522216796875,0.0849,0.1017,0.0664,0.0801
14,10609.982144355774,0.0879,0.1038,0.0688,0.0821
15,10437.677963256836,0.0909,0.1054,0.0711,0.0837
16,10267.710830688477,0.0932,0.1066,0.073,0.0851
17,10100.77243232727,0.0954,0.108,0.075,0.0863
18,9936.437136650085,0.0964,0.1092,0.0758,0.0872
19,9769.59375,0.0979,0.1101,0.0773,0.0878
20,9604.372236251831,0.0992,0.1107,0.0784,0.0886
21,9444.191328048706,0.1003,0.1119,0.0792,0.089
22,9283.871612071991,0.1012,0.1122,0.0803,0.0897
23,9124.372812271118,0.1018,0.1129,0.0807,0.0903
24,8973.335901737213,0.1026,0.1132,0.0812,0.0906
25,8821.696833133698,0.1032,0.1136,0.0817,0.0912
26,8675.888550758362,0.1037,0.114,0.0827,0.0914
27,8526.869759559631,0.1043,0.1141,0.0834,0.0916
28,8386.335442066193,0.1042,0.1144,0.0829,0.0918
29,8246.765636444092,0.1046,0.1148,0.0835,0.0922
30,8109.249764442444,0.1047,0.115,0.0837,0.0925
31,7975.121869564056,0.105,0.1153,0.0839,0.0925
32,7849.573264598846,0.1053,0.1156,0.0842,0.0928
33,7721.381649494171,0.1057,0.1158,0.0848,0.0933
34,7598.0222816467285,0.1059,0.1162,0.0849,0.0937
35,7480.275585174561,0.1062,0.1165,0.0853,0.0941
36,7360.811970233917,0.1061,0.1167,0.0853,0.0943
37,7253.7199120521545,0.1062,0.117,0.0856,0.0947
38,7140.754251003265,0.1062,0.1171,0.0857,0.0948
39,7032.469229698181,0.1063,0.1175,0.0857,0.0953
40,6931.933235645294,0.1066,0.1176,0.086,0.0953
41,6830.561640262604,0.1068,0.118,0.0862,0.0955
42,6730.776783943176,0.1072,0.1182,0.0866,0.0956
43,6639.060161113739,0.1069,0.1181,0.0868,0.0956
44,6543.284330844879,0.1071,0.1183,0.087,0.0958
45,6456.634232997894,0.107,0.1185,0.0872,0.096
46,6369.718999862671,0.1072,0.1184,0.0872,0.0961
47,6289.5366978645325,0.1074,0.1187,0.0876,0.0961
48,6204.741778850555,0.1073,0.1186,0.0877,0.0963
49,6125.358862876892,0.1075,0.1186,0.0879,0.0964
50,6051.617603302002,0.1075,0.1188,0.0877,0.0963
51,5973.647736549377,0.1075,0.1191,0.088,0.0963
52,5900.959677219391,0.1075,0.1189,0.0881,0.0965
53,5830.9584374427795,0.1077,0.1191,0.0882,0.0965
54,5764.871942520142,0.1078,0.1194,0.088,0.0965
55,5700.231993675232,0.1076,0.1192,0.088,0.0964
56,5635.471751213074,0.1077,0.1192,0.0882,0.0966
57,5572.794298410416,0.1079,0.1195,0.0881,0.0966
58,5509.651886463165,0.1079,0.1194,0.0883,0.0966
59,5454.222339630127,0.108,0.1193,0.0886,0.0965
60,5400.662112236023,0.108,0.1195,0.0886,0.0966
61,5340.981499671936,0.108,0.1196,0.0888,0.0966
62,5296.120722770691,0.1081,0.1195,0.0888,0.0966
63,5239.203706264496,0.1082,0.1196,0.0887,0.0966
64,5189.732325553894,0.1083,0.1196,0.0887,0.0967
65,5143.773005485535,0.1081,0.1195,0.0888,0.0967
66,5096.924453020096,0.1083,0.1198,0.0887,0.0966
67,5054.819269180298,0.1082,0.1197,0.0889,0.0967
68,5009.992493152618,0.1082,0.1194,0.0889,0.0965
69,4969.654172182083,0.1085,0.1196,0.089,0.0966
70,4924.846404790878,0.1084,0.1199,0.0889,0.0966
71,4887.848371505737,0.1083,0.1195,0.0889,0.0965
72,4844.592237710953,0.1083,0.1197,0.0888,0.0965
73,4812.50298666954,0.1083,0.1197,0.0889,0.0965
74,4782.0440945625305,0.1085,0.1199,0.089,0.0963
75,4735.5838141441345,0.1086,0.1198,0.0889,0.0964
76,4709.71977853775,0.1085,0.1197,0.0889,0.0965
77,4680.077425003052,0.1085,0.1199,0.0891,0.0966
78,4643.926979064941,0.1085,0.1195,0.089,0.0965
79,4610.181487321854,0.1085,0.1196,0.089,0.0967
80,4581.72243642807,0.1086,0.1198,0.089,0.0965
81,4553.364701032639,0.1084,0.1195,0.0889,0.0965
82,4530.656359910965,0.1085,0.1197,0.089,0.0964
83,4500.862156629562,0.1084,0.1195,0.0891,0.0965
84,4473.644089221954,0.1084,0.1197,0.0891,0.0963
85,4450.342560052872,0.1085,0.1197,0.0891,0.0962
