epoch,train_loss,valid_ndcg,valid_recall,test_ndcg,test_recall
0,37689.158224105835,0.0841,0.0987,0.0607,0.0713
1,33488.67954778671,0.0959,0.1124,0.0727,0.0852
2,31140.07796049118,0.0991,0.1171,0.0752,0.0883
3,29641.998730659485,0.1,0.1188,0.0765,0.0901
4,28712.017293453217,0.1003,0.1194,0.0767,0.091
5,28064.22662973404,0.1006,0.1201,0.0766,0.0911
6,27574.0973443985,0.1012,0.1209,0.0772,0.0913
7,27175.349540233612,0.1008,0.1202,0.077,0.0911
8,26822.999376296997,0.1013,0.1203,0.077,0.0908
9,26502.916971683502,0.1009,0.12,0.0774,0.0917
10,26224.087771892548,0.1011,0.1198,0.0769,0.0911
11,25963.77559709549,0.1011,0.1201,0.077,0.0911
12,25722.702211856842,0.1008,0.1197,0.0772,0.0906
13,25508.65443754196,0.1001,0.1187,0.0764,0.09
14,25294.939868927002,0.1008,0.1187,0.077,0.0903
15,25101.451799869537,0.1004,0.1183,0.0769,0.0907
16,24916.688277244568,0.1001,0.1183,0.0763,0.0896
17,24741.73440170288,0.1004,0.1185,0.0762,0.0893
18,24587.888604164124,0.1003,0.118,0.0761,0.0896
