number,value,datetime_start,datetime_complete,duration,params_embedding_dim,params_learning_rate,params_loss_margin,params_num_negs_per_pos,params_regularizer_weight,state
0,0.0970248430967331,2026-05-06 21:37:02.487690,2026-05-06 21:38:34.241990,0 days 00:01:31.754300,128,0.00020511104188433984,9.714143595538946,16,0.0009877700294007926,COMPLETE
1,0.07250507920980453,2026-05-06 21:38:34.396335,2026-05-06 21:39:44.819316,0 days 00:01:10.422981,400,0.0007309539835912913,4.832664850061842,16,0.0005141096648805752,COMPLETE
2,0.11132721602916718,2026-05-06 21:39:44.956119,2026-05-06 21:41:33.885874,0 days 00:01:48.929755,400,0.00021930485556643703,1.4278850830606467,32,0.0001274671157821505,COMPLETE
3,0.10762903094291687,2026-05-06 21:41:34.022513,2026-05-06 21:42:36.895325,0 days 00:01:02.872812,400,0.00032927591344236165,9.711053963763307,8,0.0004475040191350909,COMPLETE
4,0.07282497733831406,2026-05-06 21:42:37.019623,2026-05-06 21:44:42.855409,0 days 00:02:05.835786,64,0.0002465844721448739,3.889156603589098,128,4.848496183873288e-07,COMPLETE
5,0.1422264575958252,2026-05-06 21:44:43.020661,2026-05-06 21:48:14.322552,0 days 00:03:31.301891,400,0.0035033984911586884,7.827068293516485,32,2.781428564375744e-08,COMPLETE
6,0.10508522391319275,2026-05-06 21:48:14.479127,2026-05-06 21:51:29.579241,0 days 00:03:15.100114,200,0.00013400367243354819,4.986041789038518,128,5.218737776738192e-08,COMPLETE
7,0.17625899612903595,2026-05-06 21:51:29.711125,2026-05-06 21:56:46.353763,0 days 00:05:16.642638,256,0.0011103647313054626,3.4863818202251036,128,1.1257038385269e-05,COMPLETE
8,0.07364686578512192,2026-05-06 21:56:46.486668,2026-05-06 21:58:39.791060,0 days 00:01:53.304392,64,0.00014254757044027455,8.778875606783318,32,0.000663792683813838,COMPLETE
9,0.22781558334827423,2026-05-06 21:58:39.914290,2026-05-06 22:05:50.036949,0 days 00:07:10.122659,400,0.0004325207525386532,0.5660452400463116,128,1.160068983900714e-05,COMPLETE
10,0.19488896429538727,2026-05-06 22:05:50.168348,2026-05-06 22:07:24.904006,0 days 00:01:34.735658,128,0.003363458701677614,0.6706378183407864,64,1.0257627474185987e-05,COMPLETE
11,0.13690751791000366,2026-05-06 22:07:25.026796,2026-05-06 22:08:29.083069,0 days 00:01:04.056273,128,0.008763928619334425,0.6751663009087119,64,8.773391545990267e-06,COMPLETE
12,0.2124042361974716,2026-05-06 22:08:29.206650,2026-05-06 22:11:05.094743,0 days 00:02:35.888093,128,0.0019365563615892725,2.133878753138611,64,7.787139915931732e-06,COMPLETE
13,0.08517595380544662,2026-05-06 22:11:05.215864,2026-05-06 22:12:32.248272,0 days 00:01:27.032408,256,0.0007148659495423891,2.455653771900151,64,1.5826118897834118e-06,COMPLETE
14,0.15168851613998413,2026-05-06 22:12:32.383019,2026-05-06 22:14:29.031513,0 days 00:01:56.648494,200,0.002393719194281379,6.700471402137319,8,5.832539269886828e-05,COMPLETE
15,0.14204727113246918,2026-05-06 22:14:29.152994,2026-05-06 22:18:07.970376,0 days 00:03:38.817382,128,0.0013192492608879705,2.2815599986169883,128,0.005336938081018059,COMPLETE
16,0.11243391782045363,2026-05-06 22:18:08.125691,2026-05-06 22:20:04.430862,0 days 00:01:56.305171,400,0.00036306296540862033,2.281038767458239,64,5.321849956846696e-07,COMPLETE
17,0.15796174108982086,2026-05-06 22:20:04.594711,2026-05-06 22:23:48.758238,0 days 00:03:44.163527,128,0.0016916027511229006,6.424086977537518,128,2.13746521585702e-06,COMPLETE
